gene	pvalue	FC	fdr
ELOVL7	0.00024121575348413495	1.22119376838043	0.002502920072593007
ELP1	1	1.0389619719333179	1.0
ELP2	1	0.9803288133270878	1.0
ELP3	1	1.1109851922299514	1.0
ELP4	1	1.1779446721812656	1.0
ELP6	1	1.1412526808182273	1.0
ELSPBP1	1	0.9764006587892534	1.0
EMB	1	0.9452163499864128	1.0
EMC1	1	0.9571910227481637	1.0
EMC10	1	0.9968940065399978	1.0
EMC2	1	0.9981653412040089	1.0
EMC3	1.0182771109056515e-06	1.274526026113691	1.7913484117713788e-05
EMC4	0.06566413859864949	0.7247842162051549	0.40393474326862155
EMC7	1	1.036228640575324	1.0
EMC8	1	1.0200737809159806	1.0
EMC9	1	0.9393134159912903	1.0
EMCN	1	1.163339911331249	1.0
EMD	0.001051765763427527	1.223106121803852	0.009463418582750323
EME2	1	1.016709569225755	1.0
EMID1	1.1866198695004434e-07	1.2702372173900522	2.7187450752551327e-06
EMILIN1	1	1.014995972842249	1.0
EMILIN2	1	1.148184227177682	1.0
EMILIN3	3.57415623343507e-09	1.9886665936513959	1.8669781963386943e-07
EML1	1	1.0765330795158248	1.0
EML2	1.686417963329892e-05	1.310690312220933	0.0002266077869074978
EML3	1	0.9744838638894399	1.0
EML4	1	1.0579723097287899	1.0
EML5	1	1.0218335287116016	1.0
EML6	1	1.055326523433042	1.0
EMP1	1.80149388019239e-06	1.2452446838266578	2.9839679476563343e-05
EMP2	1.1866198695004434e-07	1.3831157813425647	2.7187450752551327e-06
EMP3	2.382770822290047e-10	1.7992494559056058	3.963946460342301e-08
EMSY	1	1.0397520721883662	1.0
EMX1	1	0.9631783528276999	1.0
EMX2	6.121933935168703e-06	1.8409418032063367	8.966143433278182e-05
EN1	9.153628563201221e-05	1.3050800212051181	0.0010331584451312294
EN2	1	1.177096851528549	1.0
ENAH	1	1.045167620936488	1.0
ENC1	3.57415623343507e-09	2.7753985508557513	1.8669781963386943e-07
ENDOD1	2.6627463939091275e-07	1.2828375309991942	5.404951400368594e-06
ENDOG	1	1.0045083623630486	1.0
ENDOV	1	0.941044881171374	1.0
ENG	1	1.131022491601073	1.0
ENGASE	1	1.1168453707829724	1.0
ENKD1	1	0.990643711661233	1.0
ENO1	4.765541644580094e-10	1.3633987818358255	5.402712212614691e-08
ENO2	1	1.1081596628615333	1.0
ENO3	1	1.0145699038165163	1.0
ENO4	1	1.0047731611468829	1.0
ENOPH1	1	1.009205503775859	1.0
ENOSF1	1	0.9504956309175181	1.0
ENOX1	1	1.0545043245738348	1.0
ENOX2	1	0.8788586049283615	1.0
ENPEP	1	1.075729747533243	1.0
ENPP1	1	1.0392229941765443	1.0
ENPP2	2.2636322811755446e-09	1.4939450101691087	1.4869052387721764e-07
ENPP3	1	1.1685040141023146	1.0
ENPP4	1	1.0150456058683155	1.0
ENPP5	0.7602678971156991	0.8297080854430468	1.0
ENPP6	5.411272537420696e-07	1.1935804581304015	1.0014452984912183e-05
ENPP7	1	0.9982298310478006	1.0
ENSA	3.867117906035632e-06	1.6125585230504973	5.8716507491939834e-05
ENTHD1	1	0.9517042588089534	1.0
ENTPD1	1	0.9984064010838255	1.0
ENTPD2	0.0007519394472264892	1.2865568693822427	0.007025905518804284
ENTPD4	1	1.0654949898847834	1.0
ENTPD5	1	1.012007265342804	1.0
ENTPD6	1	1.1501223993904839	1.0
